시/도	시/군/구	지점번호	사물유형	이름
서울특별시	관악구	다사48244151	국가지점번호판(전용지주)
서울특별시	관악구	다사53064015	국가지점번호판(전용지주)	G8 파이프능선 가는길
서울특별시	관악구	다사53814089	국가지점번호판(전용지주)	G1 상록배드민턴장
서울특별시	관악구	다사53774081	국가지점번호판(전용지주)	G2 상록갈림길
서울특별시	관악구	다사53674080	국가지점번호판(전용지주)	G3 천봉약수 위 갈림길
서울특별시	관악구	다사53544086	국가지점번호판(전용지주)	G4 관음사 국기봉 아래
서울특별시	관악구	다사53414090	국가지점번호판(전용지주)	G5 관등정
서울특별시	관악구	다사53574071	국가지점번호판(전용지주)	G6 우수경관 전망대 아래
서울특별시	관악구	다사53494022	국가지점번호판(전용지주)
서울특별시	관악구	다사53534009	국가지점번호판(전용지주)	G13 벙커지대
서울특별시	관악구	다사53644014	국가지점번호판(전용지주)
서울특별시	관악구	다사53183987	국가지점번호판(전용지주)	G12 사방댐 계곡
서울특별시	관악구	다사53033979	국가지점번호판(전용지주)	G11 남근바위
서울특별시	관악구	다사52983995	국가지점번호판(전용지주)	G10 바우삼거리
서울특별시	관악구	다사53034006	국가지점번호판(전용지주)	G9 강아지 바위
서울특별시	관악구	다사52264034	국가지점번호판(전용지주)	G16 기숙사(위)
서울특별시	관악구	다사52634002	국가지점번호판(전용지주)	G17 마당바위(하) 갈림길
서울특별시	관악구	다사52683993	국가지점번호판(전용지주)	G18 마당바위(상) 갈림길
서울특별시	관악구	다사52803957	국가지점번호판(전용지주)	G19 손바닥 나무(상)
서울특별시	관악구	다사52603939	국가지점번호판(전용지주)	G20 손바닥 나무
서울특별시	관악구	다사53193916	국가지점번호판(전용지주)	G70 파이프 능선(상)
서울특별시	관악구	다사53234045	국가지점번호판(전용지주)	G7 선유천 헬기장
서울특별시	관악구	다사52023947	국가지점번호판(전용지주)
서울특별시	관악구	다사52043953	국가지점번호판(전용지주)
서울특별시	관악구	다사51733942	국가지점번호판(전용지주)	G29 수영장 사이로 길
서울특별시	관악구	다사51703931	국가지점번호판(전용지주)	G32 돌담삼거리
서울특별시	관악구	다사51753919	국가지점번호판(전용지주)
서울특별시	관악구	다사51833919	국가지점번호판(전용지주)
서울특별시	관악구	다사51873920	국가지점번호판(전용지주)	G31 자운암장 초입
서울특별시	관악구	다사51853929	국가지점번호판(전용지주)	G30 자운암 끝자락 길
서울특별시	관악구	다사52053938	국가지점번호판(전용지주)
서울특별시	관악구	다사52383898	국가지점번호판(전용지주)
서울특별시	관악구	다사52523875	국가지점번호판(전용지주)
서울특별시	관악구	다사52973894	국가지점번호판(전용지주)	G23 암반계곡 갈림길(상)
서울특별시	관악구	다사52823905	국가지점번호판(전용지주)	G22 암반계곡 갈림길(중)
서울특별시	관악구	다사52643927	국가지점번호판(전용지주)	G21 암반계곡 갈림길(하)
서울특별시	관악구	다사52263858	국가지점번호판(전용지주)
서울특별시	관악구	다사52503858	국가지점번호판(전용지주)
서울특별시	관악구	다사52463861	국가지점번호판(전용지주)	G36 자운암(상)
서울특별시	관악구	다사52183869	국가지점번호판(전용지주)
서울특별시	관악구	다사52183861	국가지점번호판(전용지주)
서울특별시	관악구	다사51843873	국가지점번호판(전용지주)
서울특별시	관악구	다사51333865	국가지점번호판(전용지주)	G42 넓은계곡
서울특별시	관악구	다사51363847	국가지점번호판(전용지주)	G43 돌탑 자락길
서울특별시	관악구	다사51363833	국가지점번호판(전용지주)	G44 돌탑아래
서울특별시	관악구	다사51443829	국가지점번호판(전용지주)	G45 연주약수 가는길
서울특별시	관악구	다사51663830	국가지점번호판(전용지주)	G46 연주약수 사거리
서울특별시	관악구	다사51793815	국가지점번호판(전용지주)	G48 연주약수(상)
서울특별시	관악구	다사51653822	국가지점번호판(전용지주)	G47 연주약수
서울특별시	관악구	다사51613814	국가지점번호판(전용지주)	G49 연주약수 고갯길
서울특별시	관악구	다사51543811	국가지점번호판(전용지주)	G50 학바위능선 아래 삼거리
서울특별시	관악구	다사51413789	국가지점번호판(전용지주)
서울특별시	관악구	다사51463811	국가지점번호판(전용지주)	G54 평지사거리 위 암반
서울특별시	관악구	다사51333816	국가지점번호판(전용지주)	G53 평지사거리
서울특별시	관악구	다사51313813	국가지점번호판(전용지주)	G52 삼거리계곡(상)
서울특별시	관악구	다사51023879	국가지점번호판(전용지주)
서울특별시	관악구	다사50803868	국가지점번호판(전용지주)
서울특별시	관악구	다사50583839	국가지점번호판(전용지주)
서울특별시	관악구	다사50313800	국가지점번호판(전용지주)	G59 거북바위 삼거리
서울특별시	관악구	다사50263794	국가지점번호판(전용지주)
서울특별시	관악구	다사50263816	국가지점번호판(전용지주)	G60 제1깔딱고개 사거리
서울특별시	관악구	다사50363823	국가지점번호판(전용지주)
서울특별시	관악구	다사50343828	국가지점번호판(전용지주)
